token,lemma
о,о
насилии,насилие
чинимом,чинить
гондурасскими,гондурасский
военными,военный
при,при
высылке,высылка
иммигрантов,иммигрант
напряжение,напряжение
в,в
отношениях,отношение
между,между
двумя,два
странами,страна
приближалось,приближаться
к,к
критической,критический
точке,точка
государственные,государственный
службы,служба
сальвадора,сальвадор
не,не
справлялись,справляться
с,с
потоком,поток
согнанных,согнать
с,с
земли,земля
беженцев,беженец
в,в
обществе,общество
росло,расти
недовольство,недовольство
грозившее,грозить
вылиться,вылиться
в,в
социальный,социальный
взрыв,взрыв
доверие,доверие
к,к
правительству,правительство
падало,падать
успех,успех
в,в
конфликте,конфликт
с,с
гондурасом,гондурас
мог,мочь
помочь,помочь
ему,он
вернуть,вернуть
себе,себя
поддержку,поддержка
населения,население
накануне,накануне
войны,война
инцидент,инцидент
спровоцировавший,спровоцировать
открытые,открытый
военные,военный
действия,действие
и,и
давший,дать
войне,война
название,название
произошёл,произойти
в,в
сан-сальвадоре,UNK
в,в
июне,июнь
1969,UNK
года,год
в,в
течение,течение
месяца,месяц
футбольные,футбольный
команды,команда
двух,два
стран,страна
должны,должный
были,быть
провести,провести
два,два
матча,матч
за,за
выход,выход
в,в
финальную,финальный
часть,часть
чемпионата,чемпионат
мира,мир
по,по
футболу,футбол
1970,UNK
года,год
в,в
случае,случай
если,если
каждая,каждый
сборная,сборная
выиграла,выиграть
бы,бы
по,по
одному,один
матчу,матч
назначался,назначаться
третий,третий
беспорядки,беспорядок
возникали,возникать
и,и
во,в
время,время
первого,первый
матча,матч
в,в
тегусигальпе,тегусигальпа
и,и
после,после
него,он
некая,некий
гражданка,гражданка
сальвадора,сальвадор
застрелилась,застрелиться
заявив,заявить
что,что
не,не
может,мочь
пережить,пережить
такого,такой
позора,позор
своей,свой
страны,страна
а,а
во,в
время,время
второго,второй
матча,матч
в,в
сан-сальвадоре,UNK
они,они
достигли,достигнуть
угрожающих,угрожать
масштабов,масштаб
в,в
сальвадоре,сальвадор
были,быть
избиты,избитый
гондурасские,гондурасский
футболисты,футболист
и,и
болельщики,болельщик
сожжены,сжечь
гондурасские,гондурасский
флаги,флаг
по,по
гондурасу,гондурас
прокатилась,прокатиться
ответная,ответный
волна,волна
нападений,нападение
на,на
сальвадорцев,сальвадорец
включая,включая
двух,два
вице-консулов,UNK
15,UNK
июня,июнь
правительство,правительство
гондураса,гондурас
обратилось,обратиться
в,в
межамериканскую,межамериканский
комиссию,комиссия
по,по
правам,право
человека,человек
с,с
требованием,требование
рассмотреть,рассмотреть
вопрос,вопрос
о,о
нападении,нападение
на,на
граждан,гражданин
гондураса,гондурас
на,на
территории,территория
сальвадора,сальвадор
в,в
ответ,ответ
правительство,правительство
сальвадора,сальвадор
потребовало,потребовать
рассмотреть,рассмотреть
вопрос,вопрос
о,о
нападениях,нападение
на,на
сальвадорцев,сальвадорец
на,на
территории,территория
гондураса,гондурас
эмоции,эмоция
накалились,накалиться
до,до
предела,предел
в,в
прессе,пресса
обеих,оба
стран,страна
поднялась,подняться
настоящая,настоящий
истерия,истерия
20,UNK
июня,июнь
правительство,правительство
гондураса,гондурас
заявило,заявить
протест,протест
против,против
оскорбительного,оскорбительный
поведения,поведение
публики,публика
на,на
стадионе,стадион
во,в
время,время
футбольного,футбольный
матча,матч
15,UNK
июня,июнь
1969,UNK
года,год
в,в
ответ,ответ
министр,министр
иностранных,иностранный
дел,дело
сальвадора,сальвадор
выступил,выступить
с,с
заявлением,заявление
что,что
сальвадорские,сальвадорский
граждане,гражданин
подвергаются,подвергаться
преследованиям,преследование
в,в
гондурасе,гондурас
их,они
жизнь,жизнь
и,и
собственность,собственность
находятся,находиться
под,под
угрозой,угроза
и,и
что,что
880,UNK
сальвадорцев,сальвадорец
уже,уже
бежали,бежать
из,из
гондураса,гондурас
в,в
сальвадор,сальвадор
24,UNK
июня,июнь
сальвадор,сальвадор
начал,начать
мобилизацию,мобилизация
вооружённых,вооружённый
сил,сила
26,UNK
июня,июнь
сальвадор,сальвадор
объявил,объявить
о,о
прекращении,прекращение
дипломатических,дипломатический
отношений,отношение
с,с
гондурасом,гондурас
27,UNK
июня,июнь
сразу,сразу
после,после
поражения,поражение
в,в
третьем,третий
матче,матч
в,в
котором,который
хосе,хосе
антонио,антонио
кинтанилья,кинтанилья
забил,забить
победный,победный
гол,гол
гондурас,гондурас
разорвал,разорвать
дипломатические,дипломатический
отношения,отношение
с,с
сальвадором,сальвадор
в,в
целом,целое
с,с
обеих,оба
сторон,сторона
с,с
начала,начало
футбольного,футбольный
кризиса,кризис
6,UNK
июня,июнь
до,до
27,UNK
июня,июнь
1969,UNK
года,год
жертвами,жертва
конфликта,конфликт
стали,стать
120,UNK
человек,человек
а,а
материальные,материальный
потери,потеря
составили,составить
50,UNK
млн,млн
долларов,доллар
сша,сша
11,UNK
600,UNK
беженцев-сальвадорцев,UNK
из,из
гондураса,гондурас
были,быть
размещены,разместить
в,в
лагерях,лагерь
в,в
приграничных,приграничный
районах,район
сальвадора,сальвадор
3,UNK
июля,июль
сначала,сначала
транспортный,транспортный
самолёт,самолёт
dc-3,UNK
а,а
затем,затем
два,два
вылетевших,вылететь
к,к
границе,граница
штурмовика,штурмовик
t-28,UNK
ввс,ввс
гондураса,гондурас
были,быть
обстреляны,обстрелять
зенитной,зенитный
артиллерией,артиллерия
с,с
территории,территория
сальвадора,сальвадор
позднее,поздний
в,в
этот,этот
же,же
день,день
сальвадорский,сальвадорский
лёгкий,лёгкий
самолёт,самолёт
piper,piper
pa-28,UNK
cherokee,cherokee
бортовой,бортовый
номер,номер
ys-234p,UNK
нарушил,нарушить
воздушное,воздушный
пространство,пространство
гондураса,гондурас
ушёл,уйти
от,от
преследования,преследование
двух,два
вылетевших,вылететь
на,на
перехват,перехват
гондурасских,гондурасский
t-28,UNK
и,и
вернулся,вернуться
в,в
воздушное,воздушный
пространство,пространство
сальвадора,сальвадор
в,в
ответ,ответ
12,UNK
июля,июль
правительство,правительство
гондураса,гондурас
перебросило,перебросить
несколько,несколько
боевых,боевой
самолётов,самолёт
к,к
границе,граница
с,с
сальвадором,сальвадор
разместив,разместить
их,они
на,на
авиабазе,авиабаза
в,в
сан-педро-сула,UNK
здесь,здесь
было,быть
развёрнуто,развернуть
северное,северный
командование,командование
ввс,ввс
гондураса,гондурас
comando,comando
norte,norte
de,de
la,la
fuerza,fuerza
a,a
rea,rea
hondure,hondure
a,a
военные,военный
действия,действие
по,по
некоторым,некоторый
сведениям,сведение
первое,первый
вооружённое,вооружённый
столкновение,столкновение
на,на
линии,линия
границы,граница
произошло,произойти
11,UNK
июля,июль
1969,UNK
года,год
вслед,вслед
за,за
этим,это
12,UNK
июля,июль
президент,президент
гондураса,гондурас
объявил,объявить
о,о
перемещении,перемещение
к,к
границе,граница
дополнительных,дополнительный
армейских,армейский
подразделений,подразделение
по,по
данным,данные
японской,японский
газеты,газета
асахи,асаха
симбун,симбуна
столкновение,столкновение
сальвадорских,сальвадорский
и,и
гондурасских,гондурасский
военнослужащих,военнослужащий
в,в
районе,район
линии,линия
границы,граница
произошло,произойти
12,UNK
июля,июль
1969,UNK
года,год
после,после
чего,что
между,между
ними,они
произошла,произойти
перестрелка,перестрелка
но,но
позднее,поздний
правительство,правительство
сальвадора,сальвадор
выступило,выступить
с,с
официальным,официальный
сообщением,сообщение
что,что
стрельба,стрельба
в,в
районе,район
селения,селение
эль-пой,UNK
возле,возле
границы,граница
между,между
сальвадором,сальвадор
и,и
гондурасом,гондурас
началась,начаться
ранним,ранний
утром,утром
13,UNK
июля,июль
1969,UNK
года,год
14,UNK
июля,июль
во,в
второй,второй
половине,половина
дня,день
сальвадорские,сальвадорский
вооружённые,вооружённый
силы,сила
перешли,переслать
в,в
наступление,наступление
в,в
котором,который
участвовали,участвовать
пять,пять
пехотных,пехотный
батальонов,батальон
и,и
девять,девять
рот,рот
национальной,национальный
гвардии,гвардия
сведённые,свести
в,в
две,два
боевые,боевой
группы,группа
под,под
командованием,командование
генерала,генерал
хосе,хосе
альберто,альберто
медрано,медраный
наступление,наступление
развивалось,развиваться
вдоль,вдоль
основных,основный
дорог,дорога
соединяющих,соединять
две,два
страны,страна
в,в
направлении,направление
городов,город
грасьяс,грасьяс
и,и
нуэва-окотепеке,UNK
одновременно,одновременно
сальвадорские,сальвадорский
ввс,ввс
нанесли,нанести
удары,удар
по,по
аэродрому,аэродром
тонконтин,тонконтина
в,в
тегусигальпе,тегусигальпа
скоплениям,скопление
гондурасских,гондурасский
войск,войско
в,в
районе,район
границы,граница
а,а
также,также
по,по
целям,цель
на,на
принадлежащих,принадлежащий
гондурасу,гондурас
островах,остров
в,в
заливе,залив
фонсека,фонсек
при,при
этом,это
один,один
из,из
участвовавших,участвовать
в,в
авианалёте,авианалёт
сальвадорских,сальвадорский
истребителей,истребитель
tf-51d,UNK
совершил,совершить
вынужденную,вынужденный
посадку,посадка
на,на
территории,территория
гватемалы,гватемала
и,и
был,быть
интернирован,интернировать
правительство,правительство
гондураса,гондурас
выступило,выступить
с,с
сообщением,сообщение
что,что
в,в
этот,этот
день,день
самолёты,самолёт
сальвадорских,сальвадорский
ввс,ввс
бомбили,бомбить
населённые,населённый
пункты,пункт
нуэва-окотепеке,UNK
санта-роса-де-копан,UNK
грасьяс,грасьяс
и,и
чолутека,чолутека
в,в
ответ,ответ
в,в
ночь,ночь
на,на
15,UNK
июля,июль
гондурасские,гондурасский
самолёты,самолёт
атаковали,атаковать
авиабазу,авиабаза
илопанго,илопанго
повредив,повредить
взлётно-посадочную,UNK
полосу,полоса
и,и
серьёзно,серьёзно
повредив,повредить
нефтехранилища,нефтехранилище
после,после
этого,это
правительство,правительство
сальвадора,сальвадор
ввело,ввести
на,на
территории,территория
страны,страна
режим,режим
осадного,осадный
положения,положение
сроком,срок
30,UNK
дней,день
в,в
ходе,ход
наземной,наземный
операции,операция
сальвадорским,сальвадорский
войскам,войско
поначалу,поначалу
сопутствовал,сопутствовать
успех,успех
к,к
вечеру,вечер
15,UNK
июля,июль
сальвадорская,сальвадорский
армия,армия
более,более
многочисленная,многочисленный
и,и
лучше,хороший
вооружённая,вооружённый
чем,чем
противостоящая,противостоящий
ей,она
армия,армия
гондураса,гондурас
продвинулась,продвинуться
на,на
8,UNK
км,км
и,и
заняла,занять
два,два
населённых,населить
пункта,пункт
впоследствии,впоследствии
впрочем,впрочем
сальвадорское,сальвадорский
наступление,наступление
захлебнулось,захлебнуться
из-за,UNK
недостатка,недостаток
топлива,топливо
и,и
боеприпасов,боеприпас
а,а
также,также
усилившегося,усилиться
противодействия,противодействие
со,с
стороны,сторона
гондурасских,гондурасский
вооружённых,вооружённый
сил,сила
на,на
следующий,следующий
день,день
после,после
начала,начало
войны,война
была,быть
собрана,собрать
чрезвычайная,чрезвычайный
сессия,сессия
организации,организация
американских,американский
государств,государство
призвавшая,призвать
к,к
прекращению,прекращение
огня,огонь
и,и
выводу,вывод
сальвадорских,сальвадорский
войск,войско
из,из
гондураса,гондурас
16,UNK
июля,июль
в,в
приграничных,приграничный
районах,район
продолжались,продолжаться
бои,бой
между,между
частями,часть
сальвадорской,сальвадорский
и,и
гондурасской,гондурасский
армий,армия
кроме,кроме
того,тот
части,часть
гондурасской,гондурасский
армии,армия
предприняли,предпринять
попытку,попытка
контрнаступления,контрнаступление
с,с
целью,цель
захватить,захватить
город,город
чалатенанго,чалатенанго
в,в
течение,течение
дня,день
по,по
прямому,прямой
приказу,приказ
военного,военный
командования,командование
из,из
тегусигальпы,тегусигальпа
в,в
санта-роса-де-копан,UNK
по,по
воздуху,воздух
был,быть
переброшен,перебросить
батальон,батальон
президентской,президентский
гвардии,гвардия
guardia,guardia
de,de
honor,honor
battalion,battalion
в,в
операции,операция
были,быть
задействованы,задействовать
4,UNK
транспортных,транспортный
самолёта,самолёт
c-47,UNK
а,а
также,также
сопровождавшие,сопровождать
их,они
пять,пять
истребителей,истребитель
f4u,UNK
и,и
несколько,несколько
штурмовиков,штурмовик
t-28a,UNK
к,к
17,UNK
июля,июль
сальвадорские,сальвадорский
войска,войско
продвинулись,продвинуться
до,до
70,UNK
км,км
в,в
глубину,глубина
территории,территория
гондураса,гондурас
в,в
это,это
же,же
время,время
продолжались,продолжаться
ожесточённые,ожесточённый
бои,бой
за,за
столицу,столица
департамента,департамент
город,город
нуэва,нуэв
окотепеке,окотепек
расположенный,расположить
в,в
8,UNK
км,км
от,от
границы,граница
правительство,правительство
гондураса,гондурас
сделало,сделать
заявление,заявление
о,о
том,тот
что,что
в,в
воздушном,воздушный
бою,бой
сбит,сбить
один,один
самолёт,самолёт
ввс,ввс
сальвадора,сальвадор
а,а
правительство,правительство
сальвадора,сальвадор
заявило,заявить
что,что
были,быть
сбиты,сбить
четыре,четыре
самолёта,самолёт
ввс,ввс
гондураса,гондурас
около,около
12,UNK
часов,час
дня,день
три,три
истребителя,истребитель
f4u-5n,UNK
военно-воздушных,UNK
сил,сила
гондураса,гондурас
вылетевшие,вылететь
для,для
нанесения,нанесение
удара,удар
по,по
позициям,позиция
сальвадорской,сальвадорский
артиллерии,артиллерия
в,в
районе,район
эль-аматильо,UNK
встретились,встретиться
с,с
двумя,два
истребителями,истребитель
f-51d,UNK
cavalier,cavalier
mustang,mustang
ii,ii
военно-воздушных,UNK
сил,сила
сальвадора,сальвадор
вылетевшими,вылететь
для,для
поддержки,поддержка
действий,действие
9-го,UNK
пехотного,пехотный
батальона,батальон
сальвадорской,сальвадорский
армии,армия
в,в
ходе,ход
боя,бой
был,быть
сбит,сбить
сальвадорский,сальвадорский
f-51d,UNK
бортовой,бортовый
номер,номер
fas-404,UNK
позднее,поздний
в,в
этот,этот
же,же
день,день
в,в
воздушном,воздушный
бою,бой
с,с
тремя,три
f4u-5n,UNK
военно-воздушных,UNK
сил,сила
гондураса,гондурас
были,быть
сбиты,сбить
ещё,ещё
два,два
сальвадорских,сальвадорский
истребителя,истребитель
goodyear,goodyear
fg-1d,UNK
corsair,corsair
s,s
fas-203,UNK
и,и
fas-204,UNK
а,а
четвёртый,четвёртый
сальвадорский,сальвадорский
fg-1d,UNK
был,быть
сбит,сбить
огнём,огонь
с,с
земли,земля
18,UNK
июля,июль
оаг,оаг
предложила,предложить
проект,проект
соглашения,соглашение
об,о
урегулировании,урегулирование
конфликта,конфликт
в,в
соответствии,соответствие
с,с
которым,который
боевые,боевой
действия,действие
должны,должный
были,быть
быть,быть
прекращены,прекратить
в,в
срок,срок
до,до
22,UNK
00,UNK
часов,час
21,UNK
июля,июль
1969,UNK
года,год
войска,войско
сторон,сторона
отведены,отвести
на,на
расстояние,расстояние
в,в
три,три
мили,миля
5,UNK
км,км
от,от
линии,линия
границы,граница
а,а
населению,население
в,в
зоне,зона
боевых,боевой
действий,действие
должны,должный
быть,быть
предоставлены,предоставить
гарантии,гарантия
защиты,защита
жизни,жизнь
и,и
имущества,имущество
сальвадор,сальвадор
и,и
гондурас,гондурас
выступили,выступить
с,с
заявлениями,заявление
что,что
в,в
целом,целое
они,они
готовы,готовый
принять,принять
предложение,предложение
оаг,оаг
однако,однако
предложили,предложить
внести,внести
в,в
текст,текст
соглашения,соглашение
поправки,поправка
обсуждение,обсуждение
которых,который
затянуло,затянуть
переговорный,переговорный
процесс,процесс
18,UNK
июля,июль
стороны,сторона
согласились,согласиться
на,на
прекращение,прекращение
огня,огонь
которое,который
продолжалось,продолжаться
в,в
течение,течение
шести,шесть
часов,час
затем,затем
боевые,боевой
действия,действие
возобновились,возобновиться
сальвадорская,сальвадорский
артиллерия,артиллерия
открыла,открыть
огонь,огонь
по,по
позициям,позиция
гондурасских,гондурасский
войск,войско
в,в
районе,район
эль-аматильо,UNK
а,а
девять,девять
гондурасских,гондурасский
самолётов,самолёт
начали,начать
бомбить,бомбить
позиции,позиция
сальвадорских,сальвадорский
войск,войско
самолёты,самолёт
ввс,ввс
гондураса,гондурас
несколько,несколько
раз,раз
бомбили,бомбить
позиции,позиция
сальвадорских,сальвадорский
войск,войско
авиабомбами,авиабомба
с,с
напалмом,напалм
по,по
предварительным,предварительный
подсчётам,подсчёт
в,в
период,период
с,с
14,UNK
по,по
18,UNK
июля,июль
за,за
пять,пять
первых,первый
дней,день
конфликта,конфликт
погибло,погибнуть
около,около
трёх,три
тысяч,тысяча
граждан,гражданин
гондураса,гондурас
и,и
около,около
тысячи,тысяча
граждан,гражданин
сальвадора,сальвадор
19,UNK
июля,июль
сальвадорские,сальвадорский
войска,войско
захватили,захватить
город,город
нуэва,нуэв
окотепеке,окотепек
и,и
подняли,поднять
сальвадорский,сальвадорский
флаг,флаг
на,на
центральной,центральный
площади,площадь
города,город
в,в
этот,этот
же,же
день,день
президент,президент
сальвадора,сальвадор
генерал,генерал
санчес,санчёс
эрнандес,эрнандес
заявил,заявить
что,что
войска,войско
не,не
уйдут,уйти
с,с
занятой,занятой
ими,они
территории,территория
пока,пока
правительство,правительство
гондураса,гондурас
не,не
даст,дать
гарантии,гарантия
безопасности,безопасность
для,для
280,UNK
тысяч,тысяча
сальвадорцев,сальвадорец
проживающих,проживать
на,на
территории,территория
гондураса,гондурас
в,в
город,город
въехали,въехать
три,три
танка,танк
m3a1,UNK
стюарт,стюарт
сальвадорской,сальвадорский
армии,армия
которые,который
были,быть
размещены,разместить
неподалёку,неподалёку
от,от
позиций,позиция
гондурасской,гондурасский
армии,армия
в,в
этот,этот
же,же
день,день
подразделение,подразделение
гондурасской,гондурасский
армии,армия
отбило,отбить
атаку,атака
сальвадорской,сальвадорский
армии,армия
в,в
районе,район
селения,селение
эль-пой,UNK
кроме,кроме
того,тот
как,как
сообщило,сообщить
правительство,правительство
гондураса,гондурас
самолёты,самолёт
ввс,ввс
гондураса,гондурас
сбросили,сбросить
бомбы,бомба
на,на
колонну,колонна
из,из
40,UNK
военных,военный
грузовиков,грузовик
в,в
четыре,четыре
часа,час
по,по
гринвичу,гринвич
вступило,вступить
в,в
силу,сила
перемирие,перемирие
к,к
20,UNK
июля,июль
боевые,боевой
действия,действие
полностью,полностью
прекратились,прекратиться
по,по
состоянию,состояние
на,на
23,UNK
июля,июль
сальвадорские,сальвадорский
войска,войско
продолжали,продолжать
удерживать,удерживать
около,около
400,UNK
км,км
территории,территория
и,и
10,UNK
населённых,населить
пунктов,пункт
на,на
территории,территория
четырёх,четыре
юго-западных,UNK
департаментов,департамент
гондураса,гондурас
и,и
правительство,правительство
не,не
производило,производить
никакой,никакой
подготовки,подготовка
к,к
их,они
отводу,отвод
напротив,напротив
для,для
них,они
перебрасывали,перебрасывать
дополнительное,дополнительный
снаряжение,снаряжение
в,в
это,это
же,же
время,время
сальвадорские,сальвадорский
печатные,печатный
издания,издание
начали,начать
публиковать,публиковать
документы,документ
которыми,который
обосновывались,обосновываться
права,право
сальвадора,сальвадор
на,на
занятые,занятой
территории,территория
после,после
инспекционной,инспекционный
поездки,поездка
по,по
занятой,занятой
сальвадорскими,сальвадорский
войсками,войско
территории,территория
гондураса,гондурас
президент,президент
санчес,санчёс
вновь,вновь
заявил,заявить
войска,войско
не,не
будут,быть
выведены,вывести
с,с
позиций,позиция
пока,пока
не,не
будут,быть
получены,получить
гарантии,гарантия
для,для
280,UNK
тысяч,тысяча
сальвадорцев,сальвадорец
в,в
гондурасе,гондурас
в,в
течение,течение
следующих,следующий
нескольких,несколько
дней,день
сальвадор,сальвадор
сопротивлялся,сопротивляться
призывам,призыв
оаг,оаг
требуя,требовать
чтобы,чтобы
прежде,прежде
гондурас,гондурас
согласился,согласиться
на,на
выплату,выплата
репараций,репарация
за,за
нападения,нападение
на,на
сальвадорских,сальвадорский
граждан,гражданин
и,и
гарантировал,гарантировать
безопасность,безопасность
сальвадорцев,сальвадорец
остающихся,оставаться
в,в
гондурасе,гондурас
до,до
29,UNK
июля,июль
сальвадор,сальвадор
отказывался,отказываться
вывести,вывести
войска,войско
однако,однако
потом,потом
согласился,согласиться
к,к
такому,такой
решению,решение
его,он
склонили,склонить
с,с
одной,один
стороны,сторона
угрозы,угроза
введения,введение
экономических,экономический
санкций,санкция
со,с
стороны,сторона
оаг,оаг
а,а
с,с
другой,другой
её,её
предложения,предложение
по,по
размещению,размещение
в,в
гондурасе,гондурас
специальных,специальный
представителей,представитель
оаг,оаг
по,по
контролю,контроль
за,за
безопасностью,безопасность
сальвадорских,сальвадорский
граждан,гражданин
2,UNK
августа,август
1969,UNK
года,год
подразделения,подразделение
армии,армия
сальвадора,сальвадор
покинули,покинуть
территорию,территория
гондураса,гондурас
результаты,результат
войны,война
фактически,фактически
войну,война
проиграли,проиграть
обе,оба
стороны,сторона
военные,военный
расходы,расход
разрушения,разрушение
в,в
ходе,ход
боевых,боевой
действий,действие
закрытие,закрытие
границы,граница
и,и
прекращение,прекращение
торговли,торговля
нанесли,нанести
ущерб,ущерб
экономикам,экономика
и,и
сальвадора,сальвадор
и,и
гондураса,гондурас
в,в
ходе,ход
войны,война
погибли,погибнуть
и,и
получили,получить
ранения,ранение
несколько,несколько
тысяч,тысяча
человек,человек
хотя,хотя
в,в
различных,различный
источниках,источник
приводятся,приводиться
различные,различный
данные,дать
об,о
общем,общий
количестве,количество
жертв,жертва
конфликта,конфликт
от,от
2000,UNK
убитых,убитый
и,и
получивших,получить
тяжёлые,тяжёлый
увечья,увечье
до,до
6000,UNK
убитых,убитый
и,и
12,UNK
000,UNK
раненых,раненый
или,или
даже,даже
до,до
6000,UNK
убитых,убитый
и,и
15,UNK
000,UNK
раненых,раненый
при,при
этом,это
большинство,большинство
жертв,жертва
составляли,составлять
мирные,мирный
жители,житель
значительное,значительный
количество,количество
сальвадорцев,сальвадорец
по,по
разным,разный
данным,данные
от,от
60,UNK
до,до
130,UNK
тысяч,тысяча
человек,человек
оказались,оказаться
изгнаны,изгнать
или,или
бежали,бежать
из,из
гондураса,гондурас
многие,многие
из,из
них,они
вернулись,вернуться
в,в
сальвадор,сальвадор
что,что
вызвало,вызвать
рост,рост
безработицы,безработица
и,и
усилило,усилить
социальную,социальный
напряжённость,напряжённость
обострился,обостриться
земельный,земельный
вопрос,вопрос
при,при
этом,это
правительство,правительство
сальвадора,сальвадор
оказалось,оказаться
неспособно,неспособно
успешно,успешно
решить,решить
экономические,экономический
проблемы,проблема
связанные,связанный
с,с
появлением,появление
тысяч,тысяча
депортированных,депортированный
из,из
гондураса,гондурас
граждан,гражданин
в,в
и,и
без,без
того,тот
перенаселённой,перенаселить
стране,страна
политическое,политический
влияние,влияние
военных,военный
в,в
обеих,оба
странах,страна
усилилось,усилиться
после,после
войны,война
на,на
выборах,выборы
в,в
парламент,парламент
сальвадора,сальвадор
кандидатами,кандидат
от,от
правящей,правящий
партии,партия
национального,национальный
примирения,примирение
в,в
основном,основное
были,быть
военные,военный
100-часовая,UNK
война,война
стала,стать
одной,один
из,из
причин,причина
протестных,протестный
волнений,волнение
1970-х,UNK
годов,год
которые,который
переросли,перерасти
в,в
открытое,открытый
вооружённое,вооружённый
противостояние,противостояние
а,а
затем,затем
в,в
1979,UNK
1980,UNK
годы,год
и,и
в,в
затяжную,затяжной
гражданскую,гражданский
войну,война
убытки,убыток
гондураса,гондурас
от,от
вооружённого,вооружённый
конфликта,конфликт
с,с
сальвадором,сальвадор
составили,составить
около,около
4,UNK
млн,млн
долларов,доллар
сша,сша
однако,однако
разрыв,разрыв
торгово-экономических,UNK
отношений,отношение
с,с
сальвадором,сальвадор
и,и
стихийные,стихийный
бедствия,бедствие
ураган,ураган
франселин,франселина
и,и
наводнения,наводнение
в,в
сентябре,сентябрь
1969,UNK
года,год
осложнили,осложнить
положение,положение
в,в
стране,страна
в,в
результате,результат
уже,уже
в,в
октябре,октябрь
1969,UNK
года,год
в,в
столице,столица
и,и
других,другой
городах,город
гондураса,гондурас
прошли,пройти
демонстрации,демонстрация
с,с
призывом,призыв
к,к
восстановлению,восстановление
хороших,хороший
отношений,отношение
с,с
сальвадором,сальвадор
с,с
целью,цель
снизить,снизить
недовольство,недовольство
правительство,правительство
гондураса,гондурас
приступило,приступить
к,к
земельной,земельный
реформе,реформа
проходившей,проходить
медленно,медленно
и,и
имевшей,иметь
ограниченные,ограниченный
масштабы,масштаб
всего,весь
до,до
весны,весна
1984,UNK
года,год
было,быть
перераспределено,перераспределить
230,UNK
тысяч,тысяча
гектаров,гектар
земель,земля
в,в
основном,основное
участки,участок
ранее,ранее
принадлежавшие,принадлежать
сальвадорским,сальвадорский
переселенцам,переселенец
дипломатическое,дипломатический
урегулирование,урегулирование
активные,активный
военные,военный
действия,действие
продолжались,продолжаться
четыре,четыре
дня,день
в,в
дальнейшем,дальнейший
рассмотрение,рассмотрение
дела,дело
об,о
определении,определение
линии,линия
границы,граница
между,между
сальвадором,сальвадор
и,и
гондурасом,гондурас
продолжал,продолжать
международный,международный
суд,суд
оон,оон
в,в
декабре,декабрь
1969,UNK
года,год
на,на
границе,граница
между,между
сальвадором,сальвадор
и,и
гондурасом,гондурас
имели,иметь
место,место
вооружённые,вооружённый
столкновения,столкновение
в,в
марте,март
1970,UNK
года,год
сальвадор,сальвадор
заявил,заявить
протест,протест
в,в
оон,оон
в,в
связи,связь
с,с
тем,тем
что,что
в,в
порту,порт
амапала,амапасть
гондурас,гондурас
уничтожил,уничтожить
грузы,груз
прибывшие,прибыть
для,для
сальвадора,сальвадор
гондурас,гондурас
же,же
выдвинул,выдвинуть
ультиматум,ультиматум
к,к
сальвадору,сальвадор
с,с
требованием,требование
прекратить,прекратить
приграничные,приграничный
инциденты,инцидент
и,и
начать,начать
мирные,мирный
переговоры,переговоры
5,UNK
июня,июнь
1970,UNK
года,год
в,в
городе,город
сан-хосе,UNK
министры,министр
иностранных,иностранный
дел,дело
гондураса,гондурас
и,и
сальвадора,сальвадор
подписали,подписать
соглашение,соглашение
о,о
создании,создание
зоны,зона
безопасности,безопасность
в,в
районе,район
гондурасско-сальвадорской,UNK
границы,граница
в,в
декабре,декабрь
1970,UNK
года,год
парламент,парламент
гондураса,гондурас
утвердил,утвердить
предложение,предложение
президента,президент
страны,страна
о,о
прекращении,прекращение
действия,действие
многосторонних,многосторонний
договоров,договор
заключённых,заключить
со,с
странами,страна
центральной,центральный
америки,америка
и,и
выходе,выход
из,из
центральноамериканского,центральноамериканский
общего,общий
рынка,рынок
результатом,результат
этого,это
решения,решение
стало,стать
прекращение,прекращение
деятельности,деятельность
цаор,цаор
в,в
январе,январь
1971,UNK
года,год
гондурас,гондурас
вышел,выйти
из,из
цаор,цаор
и,и
центральноамериканского,центральноамериканский
совета,совет
обороны,оборона
в,в
апреле,апрель
июне,июнь
1971,UNK
года,год
на,на
линии,линия
границы,граница
имели,иметь
место,место
столкновения,столкновение
между,между
сальвадором,сальвадор
и,и
гондурасом,гондурас
13,UNK
июля,июль
1976,UNK
года,год
в,в
ходе,ход
демаркации,демаркация
линии,линия
границы,граница
военнослужащие,военнослужащий
гондураса,гондурас
застрелили,застрелить
двух,два
солдат,солдат
сальвадора,сальвадор
14,UNK
июля,июль
1976,UNK
на,на
границе,граница
между,между
сальвадором,сальвадор
и,и
гондурасом,гондурас
начались,начаться
столкновения,столкновение
приграничный,приграничный
конфликт,конфликт
был,быть
урегулирован,урегулировать
только,только
22,UNK
июля,июль
1976,UNK
года,год
12,UNK
августа,август
1976,UNK
года,год
в,в
манагуа,манагуа
между,между
сальвадором,сальвадор
и,и
гондурасом,гондурас
было,быть
подписано,подписать
соглашение,соглашение
о,о
демилитаризации,демилитаризация
пограничной,пограничный
зоны,зона
и,и
взаимном,взаимный
отводе,отвод
войск,войско
на,на
расстояние,расстояние
3,UNK
км,км
от,от
линии,линия
границы,граница
мирный,мирный
договор,договор
между,между
двумя,два
странами,страна
el,el
tratado,tratado
general,general
de,de
paz,paz
был,быть
подписан,подписать
только,только
30,UNK
октября,октябрь
